# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
Apr-80,36923.17,36923.17,36923.74,36871
May-80,55225.63,55225.63,55225.76,55386.97
Jun-80,31810.62,31810.62,31810.24,31595.41
Jul-80,120442.62,120442.62,120443.43,121447.52
Aug-80,-10519.18,-10519.18,-10518.92,-10182.98
Sep-80,6173.93,6173.93,6174.13,6648.87
Oct-80,22963.40,22963.4,22962.92,22454.41
Nov-80,50644.26,50644.26,50644.72,51009.14
Dec-80,65330.34,65330.34,65329.65,65179.93
Jan-81,55508.32,55508.32,55509.24,55880.22
Feb-81,74390.32,74390.32,74390.27,74812.87
Mar-81,38760.15,38760.15,38759.92,38176.91
Apr-81,10439.16,10439.16,10439.15,10837.77
May-81,47351.65,47351.65,47351.65,47792.72
Jun-81,30093.96,30093.96,30094.33,30811.33
Jul-81,15872.68,15872.68,15873.11,15907.31
Aug-81,114289.53,114289.53,114289.6,113932.36
Sep-81,65094.89,65094.89,65095.01,64810.39
Oct-81,1652.58,1652.58,1652.2,721.1
Nov-81,57616.26,57616.26,57616.59,56924.9
Dec-81,10737.67,10737.67,10737.85,9852.29
Jan-82,27141.41,27141.41,27141.05,26653.83
Feb-82,44102.94,44102.94,44102.96,44075.62
Mar-82,29134.76,29134.76,29134.89,29154.32
Apr-82,17107.07,17107.07,17107.46,17462.21
May-82,54183.39,54183.39,54183.4,54402.92
Jun-82,6840.13,6840.13,6840.1,6816.91
Jul-82,38024.99,38024.99,38025.34,37791.75
Aug-82,56052.06,56052.06,56052.35,55583.71
Sep-82,61299.61,61299.61,61299.69,60833.99
Oct-82,33150.12,33150.12,33149.95,32780.12
Nov-82,78178.27,78178.27,78179.05,79100.64
Dec-82,86155.86,86155.86,86155.52,88947.49
Jan-83,62126.35,62126.35,62126.73,61180.84
Feb-83,54337.52,54337.52,54609.4,57564.87
Mar-83,50923.01,50923.01,51196.02,52609.64
Apr-83,29944.09,29944.09,29943.66,30036.29
May-83,46048.74,46048.74,46049.24,47496.96
Jun-83,-85427.70,-85427.7,-85427.93,-78830.36
Jul-83,156516.11,156516.11,156515.54,159597.25
Aug-83,158170.31,158170.31,158170.65,156876.14
Sep-83,53977.64,53977.64,53978.21,52119.36
Oct-83,74312.98,74312.98,74312.74,72464.16
Nov-83,52346.35,52346.35,52346.14,51034.45
Dec-83,78494.58,78494.58,78495.05,77918.95
Jan-84,51370.80,51370.8,50825.37,49084.92
Feb-84,48694.15,48694.15,48694.49,47152.49
Mar-84,53556.74,53556.74,53556.68,52620.85
Apr-84,76060.59,76060.59,76060.63,76261.18
May-84,62510.14,62510.14,62510.04,65913.47
Jun-84,51080.82,51080.82,51626.31,54132.58
Jul-84,244406.71,244406.71,244406.06,245793.48
Aug-84,164073.75,164073.75,164074.06,163403.86
Sep-84,41069.35,41069.35,40589.31,40179.4
Oct-84,52067.23,52067.23,52002.34,51214.23
Nov-84,71550.25,71550.25,71550.2,71664.54
Dec-84,77672.78,77672.78,77672.71,77690.48
Jan-85,50868.97,50868.97,50869.48,50390.77
Feb-85,65672.77,65672.77,65672.76,65710.1
